Unnamed: 0,name,type,state,found,faculty_count,department_count,has_grad,has_remote,review_rating,review_count,difficulty_SD,difficulty_rank
413,Tokyo Zokei University,Private,Tokyo To,1966-01,2,3,True,False,3.86,82.0,40.8,6
414,Toho Gakuen School of Music,Private,Tokyo To,1955-02,2,2,True,False,4.35,87.0,35.0,7
416,Musashino University,Private,Tokyo To,1965-01,34,46,True,True,3.7,512.0,47.4,5
417,Musashino Art University,Private,Tokyo To,1929-10,6,21,True,True,4.01,230.0,47.7,5
418,Meisei University,Private,Tokyo To,1964-03,16,25,True,True,3.75,455.0,46.2,5
419,WAKO UNIVERSITY,Private,Tokyo To,1966-01,4,9,True,False,3.59,145.0,36.4,7
420,Kyorin University,Private,Tokyo To,1970-04,7,28,True,False,3.77,336.0,45.2,5
421,Soka University,Private,Tokyo To,1971-01,23,33,True,True,4.35,556.0,40.5,6
422,Nihon Bunka University,Private,Tokyo To,1978-01,1,1,False,False,3.22,26.0,38.0,7
423,Tokyo University of Technology,Private,Tokyo To,1985-12,10,20,True,False,3.56,358.0,43.1,6
424,Japanese Red Cross College of Nursing,Private,Tokyo To,1986-02,3,4,True,False,4.38,64.0,51.8,4
425,Keisen University,Private,Tokyo To,1987-12,4,7,True,False,3.79,91.0,38.4,7
426,Tama University,Private,Tokyo To,1989-04,3,4,True,False,3.34,78.0,35.3,7
427,Tokyo Junshin University,Private,Tokyo To,1995-12,2,2,False,False,3.58,18.0,36.0,7
428,Kaetsu University,Private,Tokyo To,2000-12,3,3,True,False,3.2,31.0,37.7,7
429,Tokyo Fuji University,Private,Tokyo To,2001-12,2,3,True,False,3.48,36.0,38.0,7
431,Digital Hollywood University,Private,Tokyo To,2004-02,2,2,True,False,4.25,84.0,45.3,5
432,Shiraume Gakuen University,Private,Tokyo To,2004-11,2,4,True,False,3.95,103.0,40.7,6
433,Tokyo Healthcare University,Private,Tokyo To,2005-04,12,6,True,False,3.65,159.0,42.4,6
434,Tokyo Seiei College,Private,Tokyo To,2004-11,1,2,False,False,3.79,44.0,36.3,7
439,Tokyo Future University,Private,Tokyo To,2006-11,4,4,False,True,3.87,107.0,38.3,7
442,Hosen College of Childhood Education,Private,Tokyo To,2009-10,1,1,False,False,3.63,25.0,37.8,7
443,Tokyo Ariake University of Medical And Health Sciences,Private,Tokyo To,2008-10,4,5,True,False,3.71,39.0,36.8,7
